parcel,x,y,z
7Networks_RH_Vis_9,50.141623488773746,-64.50086355785837,-9.26424870466321
7Networks_RH_Vis_10,42.30350194552529,-83.58754863813229,-12.202334630350194
7Networks_RH_Vis_11,9.225609756097555,-72.15853658536585,-4.817073170731703
7Networks_RH_Vis_12,12.8735632183908,-57.41379310344827,-3.3908045977011483
7Networks_RH_Vis_13,25.181818181818187,-96.52631578947368,-9.904306220095691
7Networks_RH_Vis_14,17.81308411214954,-44.78504672897196,-2.6728971962616868
7Networks_RH_Vis_15,8.397774687065365,-92.105702364395,-1.6300417246175272
7Networks_RH_Vis_16,48.6208,-65.7024,4.281599999999997
7Networks_RH_Vis_17,14.38095238095238,-47.111111111111114,4.2222222222222285
7Networks_RH_Vis_18,35.40157480314961,-88.68766404199475,2.141732283464563
7Networks_RH_Vis_19,8.973058637083994,-73.36925515055466,8.250396196513478
7Networks_RH_Vis_20,21.617834394904463,-59.4968152866242,5.770700636942678
7Networks_RH_Vis_21,23.57692307692308,-98.80128205128204,7.40384615384616
7Networks_RH_Vis_22,43.78407079646018,-78.7575221238938,10.424778761061944
7Networks_RH_Vis_23,12.678038379530918,-94.05970149253731,18.810234541577827
7Networks_RH_Vis_24,15.753846153846155,-66.02461538461539,18.769230769230774
7Networks_RH_Vis_25,5.040000000000006,-80.04666666666667,23.28
7Networks_RH_Vis_26,27.12658227848101,-87.07594936708861,20.74683544303798
7Networks_RH_Vis_27,35.63157894736842,-79.26973684210526,24.16447368421052
7Networks_RH_Vis_28,14.291316526610643,-77.37254901960785,33.74229691876751
7Networks_RH_Vis_29,16.19114219114219,-86.78321678321677,36.6013986013986
7Networks_RH_Vis_30,28.903426791277262,-77.75077881619939,36.728971962616825
7Networks_RH_SomMot_1,53.053941908713696,2.5726141078838225,-5.60580912863071
7Networks_RH_SomMot_2,61.84,-18.58,-0.4399999999999977
7Networks_RH_SomMot_3,53.510588235294115,-13.708235294117642,5.689411764705881
7Networks_RH_SomMot_4,39.82165605095541,-18.40764331210191,4.789808917197448
7Networks_RH_SomMot_5,37.89915966386555,-7.949579831932766,13.848739495798313
7Networks_RH_SomMot_6,34.76923076923077,-21.519230769230774,14.288461538461533
7Networks_RH_SomMot_7,60.142414860681114,-23.690402476780193,10.767801857585141
7Networks_RH_SomMot_8,64.38524590163934,-34.368852459016395,10.540983606557376
7Networks_RH_SomMot_9,40.91228070175438,-13.05263157894737,18.175438596491233
7Networks_RH_SomMot_10,41.479674796747965,-28.85365853658537,17.95934959349593
7Networks_RH_SomMot_11,49.52447552447553,-10.04195804195804,12.853146853146853
7Networks_RH_SomMot_12,59.15830115830116,0.7104247104247037,10.355212355212359
7Networks_RH_SomMot_13,48.9625,-21.262500000000003,18.462500000000006
7Networks_RH_SomMot_14,61.848837209302324,-11.5,15.302325581395351
7Networks_RH_SomMot_15,60.696774193548386,6.412903225806446,29.251612903225805
7Networks_RH_SomMot_16,59.189655172413794,-5.349137931034477,27.23706896551724
7Networks_RH_SomMot_17,61.22314049586777,-14.214876033057848,30.247933884297524
7Networks_RH_SomMot_18,51.54838709677419,-6.3548387096774235,37.16129032258064
7Networks_RH_SomMot_19,54.57142857142857,-16.828571428571422,40.18571428571428
7Networks_RH_SomMot_20,11.083333333333329,-17.02380952380952,41.28571428571429
7Networks_RH_SomMot_21,52.28108108108108,-12.843243243243236,49.2
7Networks_RH_SomMot_22,44.05128205128205,-10.84615384615384,48.22222222222223
7Networks_RH_SomMot_23,49.092063492063495,-25.453968253968256,55.790476190476184
7Networks_RH_SomMot_24,6.947916666666671,-9.958333333333329,51.33854166666667
7Networks_RH_SomMot_25,42.37158469945355,-21.092896174863384,54.69945355191257
7Networks_RH_SomMot_26,36.37735849056604,-18.161725067385447,63.331536388140165
7Networks_RH_SomMot_27,32.44970414201183,-34.082840236686394,63.12426035502958
7Networks_RH_SomMot_28,31.02127659574468,-40.56170212765957,63.95744680851064
7Networks_RH_SomMot_29,34.12435233160622,-27.191709844559583,60.96373056994818
7Networks_RH_SomMot_30,4.389705882352942,-24.661764705882348,58.38970588235293
7Networks_RH_SomMot_31,28.664,-10.936000000000007,64.75999999999999
7Networks_RH_SomMot_32,9.176923076923075,-40.06923076923077,68.02307692307693
7Networks_RH_SomMot_33,21.206106870229007,-24.44274809160305,66.03053435114504
