parcel,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa,H3,M1,MU,NAT,NMDA,VAChT,mGluR5
7Networks_LH_Limbic_OFC_3,0.29292401352604425,0.1303916443631864,0.4441781665526761,-0.008305748752204096,-0.3705975460723045,-0.4031181014531154,-0.2358254315816337,0.601446101879483,0.48457870523189256,-0.2622426230623406,-0.37070766178612136,-0.1890760161707062,-0.04028491180056686,-0.15653552652040614,0.11896498446338605,0.8047145009422714,-0.9353216475028663,0.11763181538128473,-0.2593046179871778,-0.09724575988665568
7Networks_LH_Limbic_OFC_4,1.2815957459985454,-0.18440326149280448,0.4127490247043599,0.1412853674156428,-0.34074207142355695,0.6361172594091287,-0.339909982328658,1.3211738639652157,1.1221860595219024,0.11512122165964542,0.7569820811577309,0.33760290222617395,0.6525225711981216,1.4286349239005192,0.7223880582331659,1.4586181701128018,-1.0103680438411915,0.3336707496655796,0.09125345973153888,1.2675211338449799
7Networks_LH_Limbic_OFC_5,0.738307468550427,0.48109530323215943,0.6161664962394366,0.13372232013143118,-0.4451322806272373,-0.3259037661384351,0.11743112419691534,0.8194455500419979,0.09842197446769431,-0.2999645630817541,-0.7238846679675829,-1.1567447553077534,-0.04236982028310838,-0.10783745776532146,0.4025309738880762,0.35448341295820907,-1.1340659426645228,-1.7659732928689058,-0.30238937407470257,-0.22532796097083171
7Networks_LH_Limbic_TempPole_1,2.4505344992694966,-1.4036855283524496,0.7117071585786219,0.29587074624534426,-0.6228277091306236,-0.0829987232407024,-1.631663528773781,0.40501535009473677,-0.16219446105122648,0.18368921413445216,-0.048474426804428476,-0.5279553960270388,-1.4485865895316008,-0.5735604088886328,0.1593741132565964,0.4835583234914207,-1.5074560868196134,0.41119520594398773,-0.4665824662477182,-0.6841247162852853
7Networks_LH_Limbic_TempPole_2,1.9592296227479868,-2.0544031260697118,-0.5531971218663078,0.20679512017972576,-1.471536827160912,1.1747949726438014,-1.8951814115145877,0.27039720215897106,-0.2064951133623593,0.15633343759723314,0.043768110727970315,0.4164761539506581,-2.0720402189644154,-0.6765495889914255,-0.3510867543262292,0.6394012462752605,-2.177482167858017,-0.09592910359267076,-0.37816288696395584,-1.0028660444336825
7Networks_LH_Limbic_TempPole_3,2.8070830820361325,-2.275525505515603,-0.820118677017353,0.06451140165187548,-1.4400668512450008,1.1032664074109526,-1.7318243787954897,-0.8407962063243664,-0.2803965019514695,-0.15139230520510272,0.27374145861264765,-0.2365931929505044,-2.1042780896049402,-0.8987783115635507,-1.0316731443063993,-0.07300747461663606,-2.16327761037438,-0.8646558860695596,-0.28613387773318333,-1.3388640427329737
7Networks_LH_Limbic_TempPole_4,1.6084254465640841,-0.7670137023114288,0.7839863607733789,0.5238640017434193,-0.25467249035777956,-0.6192190808154071,-0.7276577167569818,0.2615039730588953,0.2537260374120754,0.2046986277050823,-0.1751508653169343,-0.1334383176401459,-0.7493620673490747,-0.5059315674740202,0.6222319472624962,0.5694023932391729,-0.9431982390021811,-0.4820089131050348,-0.4164086368170679,-0.5650843119003524
7Networks_LH_Limbic_TempPole_5,2.5416588123867667,-1.3701008159060553,0.5051643829815334,0.18233780398999158,0.4636937117349798,0.11034078883714496,-0.7611337481220496,0.24677661132914053,0.36730760908193394,0.2877418858338761,0.35420673700218397,0.5448150151919848,-0.08972260777673147,-0.6172743322195468,0.37557516545367947,0.3487168210936993,-0.8376287952116928,0.5778263564073011,-0.28364708855247117,0.07401958719669051
7Networks_LH_Limbic_TempPole_6,1.4465981073124585,-1.2914179572594071,0.19441500554378488,0.5272938141755423,0.3186937792009221,0.060831985144573414,-0.896622692425304,0.9621424406283333,0.06604083463148447,0.2876936975642622,-0.1295899327527403,0.5247020775280367,-0.850928953994726,-0.5179635375308184,0.1294710145212889,0.5087598633834153,-1.240516015119117,0.23081522883442102,-0.2459111322174419,-0.0011676837417965349
7Networks_LH_Limbic_TempPole_7,1.9335915802010657,-1.9418666220973162,-0.53665367287686,0.008671509961119588,-0.678112637747857,1.0459406469148753,-1.371726756223,0.45069313077687306,-0.05767571072464482,0.21755219013191618,0.1078399411876488,0.7286179688136634,-1.304098091179183,-0.367210782982103,-0.3821657971836886,0.5852899650063772,-1.713546518471678,-0.23458356158038918,-0.293859060268439,-0.8612321241911474
7Networks_LH_Limbic_TempPole_8,1.0658293861895298,-3.379296280397986,-2.1271085540506522,-0.7713059514206485,-2.875980290260907,-0.03073417059186427,-1.4199122862478561,-2.4723170477125773,-1.111956918972606,-0.649860974560517,0.32680297509319073,-0.6153635705243492,-2.878501900793684,-1.481249975172165,-3.0189640685415844,-1.6193214836578491,-2.510062485121869,-2.587619446665304,-0.5906255479148149,-3.5863008810115624
7Networks_LH_Cont_Par_1,-0.2401224396373521,0.5736612211589661,0.5373131126343267,0.2836912339933334,0.3391526915711906,-0.6614374784325643,0.0676473989506845,0.4083322672461103,-0.3525089193071378,-0.20973508614984454,-0.5579100414253374,-0.5391189059153646,0.6911758299735358,-0.2665689446338295,0.5917059353107932,-0.44444116262736055,0.2201183154552873,-0.31556103098190774,-0.42987176176604097,0.2664480395735076
7Networks_LH_Cont_Par_2,-0.198847229315205,0.08310960199401836,0.5556319777828069,0.5214180737914694,-1.1741207156916658,-0.6897502172487916,-0.8976972174971963,0.6971024290612623,-0.9820331827005409,-0.24831449939093128,-0.7075356861999633,-1.2033169124461895,-0.24992641639948407,-0.9652238109146938,-0.5389505382093058,-0.3029834850184985,-1.4291892364636363,-2.5317794743412207,-0.39161889774271536,0.001310186719065594
7Networks_LH_Cont_Par_3,-0.06845323660149688,0.42618654187978927,0.5935901225825059,0.4283595602229216,-0.014323243654664156,-0.7032379842523345,-0.043263518198856495,1.05992352412414,-0.7197468395221405,-0.10159701481539042,-0.6684693372246031,-0.8171543501517119,0.02806745578681314,-0.5783424858263482,0.3012238032925486,-0.0950145344245359,-0.42434008855515676,-1.069986985169111,-0.37032669255862377,0.4581487625394856
7Networks_LH_Cont_Par_4,-0.30604641568618496,0.30210880303614446,0.6930166223942495,0.25628213996623844,0.2679802954518371,-0.7094657070987329,0.06162628472356114,0.08509681478614693,-0.3736932625309276,-0.23058716510885757,-0.5659254326404218,-0.39969194614067166,0.24701073811272714,-0.46136832679388495,0.48467600793528703,-0.40397438320967777,-0.12407970364422491,-0.17257332101494213,-0.387423678665609,-0.0362506446970002
7Networks_LH_Cont_Par_5,0.0700507794540665,0.4904735547437508,0.8733886879017834,0.264197365587995,0.7582196023569474,-0.6871510278154119,0.2786371108880459,0.45994057453577863,-0.19863655434236513,-0.1279387414175379,-0.6151063077255782,-0.510428994384283,0.5981252552803589,-0.16363233500560628,0.6258218374466252,0.03670705962619279,0.2508478527650349,0.35578548741642174,-0.4175053513013159,0.5210049646911618
7Networks_LH_Cont_Par_6,0.286457538083864,0.20071667527052123,0.6757136313570855,0.15595492943709147,0.5714173611351592,-0.7189420814976863,0.10563101246690118,0.44374685365250444,-0.17175099024662807,-0.13317075383827906,-0.4301981541194433,-0.4023795831318348,0.6656115073516604,-0.2668249667805367,0.37522002993077835,0.19748251722793894,0.14621562887138126,0.26176122013552044,-0.29720378572494205,0.5443870762963006
7Networks_LH_Cont_Temp_1,0.5683676121364629,0.019951352893033653,0.9764481407026122,0.7208585215555555,1.3408455163738358,-0.5827596035129252,-0.14683412707609086,0.6026531488061488,-0.45875911499257777,0.14224194647780333,-0.35728640733799416,-0.07490751524676686,0.2504585354897596,-0.5475845455260169,0.2387081107299592,0.10025521614694206,-0.08355217157348724,-0.23634252408635567,-0.3018202400772796,0.4393228564975403
7Networks_LH_Cont_OFC_1,0.30281010884989557,0.48379525098441933,0.8762919245681288,0.23023727221768278,-0.009975831623886907,-0.43000723246281014,-0.13378158598354092,0.5779688814763967,0.22077605245079523,-0.24784574886737984,-0.34190125724642234,-0.18363878680901274,0.23382597743747893,-0.2852207749134922,-0.4022289424388135,0.7616660428792219,-0.4879635290134347,0.33002008980394093,-0.18572745110461358,-0.16862947062760145
7Networks_LH_Cont_PFCl_1,0.008100064382541102,0.904879226358424,0.7878110571234803,0.14898073834665204,0.5661933781554326,-0.402267118881651,0.6163751673278451,1.6882525978059115,-0.0668303679993368,-0.198735978498058,-0.561724233920643,-0.7998295124333112,0.15986270432320052,0.04861021074969049,0.5798953239509134,0.4750412722512571,-0.005841566532095574,-0.48414934897832823,-0.20368248185673482,0.3580021904091107
7Networks_LH_Cont_PFCl_2,0.04471910722633929,1.5076949977232985,0.6772729446359605,-0.052268164131425925,0.9031059978074641,-0.2462705428778878,0.7353064458466632,1.277046124760174,-0.09574192745759379,-0.23776586997491947,-0.2754815136312771,-0.21121849815257931,0.4354180797131124,-0.011382759233079078,0.39763470399990547,0.5521744896391517,0.6755729898166476,-0.19438988578277924,-0.17020852069817777,0.6973475495835603
7Networks_LH_Cont_PFCl_3,0.30226366891454726,1.4755597442361361,1.0130271823763655,0.1672577760455294,0.8533219496165025,-0.24915337289249626,0.6669298196679625,1.6189968911520414,-0.0585072054237163,-0.19805858078814736,-0.3832960612887788,-0.4042328446146865,0.6833162340008266,0.05052825796539501,0.43184844438946185,0.6916258313633639,0.25564199993783177,-0.32836074317690694,-0.17522501150123349,0.6956406397237396
7Networks_LH_Cont_PFCl_4,0.5266425509241615,1.2195936688876583,0.9388911791512677,0.13658141768193824,0.6889986837740815,-0.23754560024308996,0.4935521128517966,1.2974526089183547,-0.11581929824396157,-0.21292573401535023,-0.42497339318649574,-0.46477535284320526,0.44180731118489835,-0.1445661369026317,0.2220501824448572,0.4441237785929562,0.017028633628371436,-0.5764260027809495,-0.22596546304247958,0.3575739628614524
7Networks_LH_Cont_PFCl_5,0.1408698024990621,1.310627542423433,0.7747212611730114,0.07950662566141126,0.8694748158051228,-0.2764602150461374,0.6935636918868441,1.343087708318413,-0.23366454223429903,-0.23121964444566862,-0.2747509907290909,-0.2967668950684452,0.5688170472726385,0.049275423486233864,0.33882959873669666,0.7476635888869313,0.4460907941574851,-0.12172247940871445,-0.18547358879768333,0.8172932189900625
7Networks_LH_Cont_PFCl_6,-0.035463614085243955,1.0702302372526293,0.5657928003158793,-0.1401503121650444,0.3958757445294391,-0.3436343189462415,0.5162137656892517,-0.010255746605272266,-0.20676155859166967,-0.3467440962138671,-0.1101542604904847,-0.16681613564610137,0.5368941772874287,-0.4495639525196969,-0.48917535479738083,0.29556355526460115,-0.009187945655602827,0.08639985594677685,-0.19358884588244962,0.40404364431779755
7Networks_LH_Cont_PFCl_7,-0.1940332589327215,0.572177348447972,0.30609356051708964,-0.24999880926200618,-0.2847625399470956,-0.443405649889459,0.43028060295586257,-1.0773991114431496,-0.03472051878772573,-0.41395080348736635,0.12340943461003705,0.020560971205681327,0.16825438136467044,-0.950503250850932,-1.6488054823450429,0.3244247338726872,-0.6317625123924195,0.8000506433972782,-0.19099644060404983,0.0055074366152410665
7Networks_LH_Cont_PFCl_8,0.28362475404028514,1.2121470147217093,0.8967299180868546,0.08817962952914704,0.8042425043312058,-0.4245802103069947,0.8487799447823894,1.1730813983951822,-0.4171532271232932,-0.2554221871186294,-0.48885701314455615,-0.5355216361730241,0.29315890305327086,0.29199008518445363,0.42967866116640735,0.7656274605207408,0.20088973578610433,-0.41242199264645196,-0.2535909920351398,0.7467672095173462
7Networks_LH_Cont_PFCv_1,1.744819095959459,0.6523069719243245,0.15850251753753472,0.07706516006284554,1.1102108684081395,1.2425240494702559,-0.06516972395392753,1.2813591341725308,0.8292973905481515,0.8435651593729979,0.9442627075525006,0.8466670086056323,0.4012378217983122,1.2608941547131691,0.3336654824654434,1.3516117854722915,-0.155615804460866,1.4178295277475075,0.22619603767730953,0.7277983298531271
7Networks_LH_Cont_pCun_1,-0.5782517069057646,-0.5836727852475508,-0.017790450686161835,-0.19614074645533366,-0.7004075816134032,-0.6528257406103929,-0.8893258314386937,-0.6256459058910215,-0.7184265513311408,-0.3860904081418069,-0.6784823961322756,-0.19825981131791415,-0.016010492638297322,-0.7119647014145404,-0.2617554752949407,-0.9970684414983081,-0.5417669379501465,-1.1943160490574363,-0.4566474355794211,-0.16681219983950607
7Networks_LH_Cont_pCun_2,-0.11690825117776678,-0.2478941203378521,0.29580141950128575,-0.04931918855646456,0.6512405353851217,-0.6998274832937434,-0.18692827290066028,0.2160724734257995,0.0003588999130871158,-0.24066927146446462,-0.5454949514179543,0.4470040917088605,0.3421616515341858,-0.04428795285260469,0.5934380232235984,-0.17736348626959347,0.1606469626069649,0.20454686867892133,-0.3037337958577331,0.7493475725603417
7Networks_LH_Cont_Cing_1,-0.6731300314792218,-1.1635553559164793,-1.3166364908514194,-0.5863073087659898,-1.0784555154003694,0.4809637226533214,-0.029359260888365706,-0.5558541969113282,-0.043598633229952534,-0.3210337051282788,0.28779905399065053,-0.2466304993346372,-0.6507108031403102,0.22625631897582213,-1.1314095763223562,-0.3031419171547015,-0.4389026286621848,-1.478833746587354,0.14546407369260184,-0.871476590311561
7Networks_LH_Cont_Cing_2,-1.1198847781279226,-1.511797345614414,-1.1216786670239933,-1.0802222039811074,-1.8376741987677288,-0.11034465718858269,-0.9433012375347554,-2.7288163210542975,-0.35431057767786456,-0.6200920499716397,0.18023921792300457,-0.6455191960500584,-0.36052065674072725,-1.1912372904154598,-2.101213600053288,-1.096877727752911,-1.472186687059449,-1.090020569747822,-0.008522344584183255,-1.6608291444655316
7Networks_LH_Cont_PFCmp_1,0.1790268057897112,1.015298574432407,0.7101692055550202,-0.14528144081139344,0.7072057860092575,-0.6361857756492566,0.22510135759755806,0.40556706119374547,-0.016535417310699446,-0.26349084454856375,-0.4151841656118493,0.3413017383640374,0.47123407495791875,1.124657203520251,0.27147297352784805,0.8324527319159446,-0.004695097863575078,-0.07196274314362565,-0.3134030009208398,0.6112833910384677
7Networks_LH_Default_Temp_1,1.4870033465468258,-0.6980363662724512,0.9270635878568435,0.6830547895055589,1.1794351198673134,-0.4675874289525604,-0.5226553469392852,0.792829755339099,0.20130745559299112,0.28104507411322227,-0.08525654008854552,0.6075402672656538,-0.14288712906918058,-0.6269136651082378,0.30943013813319226,0.5663982562169854,-0.27058594597088187,0.3616684169787932,-0.27105938690957504,0.07812768961628681
7Networks_LH_Default_Temp_2,1.1509708113009178,-0.2822625792972047,1.1001595918180995,0.7781993776890515,1.1915394746903598,-0.5532127354633859,-0.315911326878929,0.5657529012972314,0.101835355185506,0.21185158969025644,-0.15730463406201367,0.4869020804203175,0.019654853095173234,-0.6610411895577981,0.2660425178579382,0.4284377845585678,-0.3005452305311842,0.3080930357559902,-0.2998824537670791,0.4215729652083808
7Networks_LH_Default_Temp_3,1.1044191302281754,-0.25940334212184285,0.9161609481962033,0.6941645731958348,0.7683390562569731,-0.6150555479274323,-0.3575857580475281,0.3796814453825835,-0.28905042679942267,0.15430276717485,-0.31727172222714867,0.15261495377723708,0.26859754972666683,-0.7256138659058745,0.2974578679572761,0.29697755656844355,-0.33821129990942156,-0.013491238109346937,-0.3490157820307703,0.2356093515340469
7Networks_LH_Default_Temp_4,1.483474855851587,-0.296755833571962,1.1552856587371756,0.7391810144613885,1.198881368912643,-0.296734128264506,-0.3375269164875614,0.8691275075267546,0.2730897132402572,0.26385396486553603,-0.043479047045634565,0.5257276447245246,0.4098713301499219,-0.3081369035024798,0.7084049060277934,0.5913781490847906,-0.07452003502079925,0.6381023454763521,-0.15664333319413884,0.6952409336539663
7Networks_LH_Default_Temp_5,1.4092780892671148,-0.9700637442775113,0.7431201456034566,0.5230257041868064,0.6275219975697963,0.18424101332180534,-0.8502820207781955,0.9397987766693805,-0.226003161849581,0.2596245476023359,-0.2946754199699315,-6.535086026038324e-05,-0.008900077496132674,0.02707957347192554,0.33382751458055937,0.43446191536574785,-0.5835934514539111,0.05531846257449231,-0.05383336900737192,0.5892826916514735
7Networks_LH_Default_Temp_6,1.0405794399972195,0.474705266026799,1.401750970583002,0.8827816891908904,1.2126032094019488,-0.3668823586487619,-0.021017869607263553,0.6776435072399132,0.03852622773672262,0.18480557824622953,-0.15830606924702842,0.15259492657251564,0.5426561140160591,-0.2539845971016422,0.6406479596060479,0.4157119453292038,0.19580233859009746,0.6808992237135018,-0.18558623971218205,0.8356015615213023
7Networks_LH_Default_Temp_7,0.6709488227177105,-0.267783065965954,0.7377358027230884,0.46110809819884035,0.6291563236003733,-0.2118386402802854,-0.3737221115658892,-0.2029704222837178,0.16737618394945683,0.05737627852501713,0.287149092981668,0.5664861237821224,0.1401949770909645,-0.6963554828879535,-0.16147606479164114,0.11468070416892527,-0.2770949642041468,0.7062353768309437,-0.07520405277651837,-0.04285681539119937
7Networks_LH_Default_Temp_8,0.7512514463036759,-0.1626286484825399,0.8675967422402099,0.6622691207912662,1.0998928553701521,0.012932375047745049,-0.3471869550372558,0.7296692050737281,-0.21817745986674583,0.16225337401739967,-0.2807447264586643,-0.012060799357036963,0.8865971542870624,-0.13656513597140155,0.6229942088664238,0.14108411840794083,0.5304085536273045,0.0750300468610213,-0.012106534385974081,0.9796382042966543
7Networks_LH_Default_Temp_9,0.5375224655683655,0.3447369679300311,0.9295042138192424,0.5775795952391442,1.2771840215055028,-0.08950739111937628,0.14481571721774328,1.0650763462586679,-0.2759481263630284,0.12093081535717047,-0.25502043467381574,-0.1266791701258541,0.6607367845935463,0.010821199901414506,0.7640383544702333,0.03599533013059953,0.7601294292283891,0.04273103093391096,-0.08073597209177925,1.0167665763982676
7Networks_LH_Default_Temp_10,0.5244901522284515,-0.08525348457914508,0.9042059247280286,0.5390502814544794,0.5095889655645411,-0.17975701817305123,-0.33059273001884815,-0.3924996250715127,-0.16479746750294147,-0.0651906532351453,0.06975682895338509,0.2181557848704731,0.4375548442877447,-0.7918842779803015,-0.6033923663126849,0.0012243809609934259,-0.5436773212762421,0.8465004811222818,-0.14144165885968146,-0.033743989589939696
7Networks_LH_Default_Par_1,0.3756970069678502,0.6525117445668208,0.8284588064813921,0.7225644401468938,0.9319371972565961,-0.1819819218802617,0.1499307759675557,1.1070727165313283,-0.36298760902485233,0.005585190044886971,-0.2973258190305193,-0.27528347337594417,0.7135776919844383,-0.026422002763345363,0.8411527959286775,-0.042628636241964016,0.2702642214487816,-0.17824099163457535,-0.19517482681280843,1.1151295299234465
7Networks_LH_Default_Par_2,0.6168019772698075,0.016792638078079094,0.9168562459375317,0.4475063981306217,0.4626591093019503,-0.2807602548970552,-0.11461459335620512,-0.08988183928716316,0.07564947644569003,-0.14141816338644644,-0.044394201596434084,0.09571098058954458,0.3688909055372856,-0.7596410372351128,-0.2231938617348143,0.23230604435890717,-0.3441938674538589,0.9641489307569647,-0.21123194227543043,0.6478106674221031
7Networks_LH_Default_Par_3,-0.3604785427471842,0.23883232525793224,0.3448712458246847,0.593621929935464,-0.3053899906826998,-0.5876764167037892,-0.5046941220073307,0.783419170524629,-0.8230739714523184,-0.2390070076253047,-0.5843743249483129,-0.8986941939637777,-0.06493500944938474,-0.4731730372206414,0.17201325956487715,-0.6249570242592318,-0.6259374975562495,-1.328520287930311,-0.3976976256061009,0.3655317192024065
7Networks_LH_Default_Par_4,0.3702966719962912,0.4696751222838686,0.8144304200085012,0.5531104772928989,0.8237477958253483,-0.4902704721398357,0.209967346117058,0.8078658262251929,-0.23045714273665685,-0.07348682500748717,-0.36567577061615525,-0.17967276359475837,0.5981087438517365,-0.39282496968271724,0.4829272929257597,0.16792688792647983,0.06721112903422967,0.25456193920072895,-0.31028294471952134,0.9057765932122787
7Networks_LH_Default_Par_5,0.288697661128866,0.712244137151823,0.7916731714233601,0.7508326556335178,0.6581104058927043,-0.4451281471233058,0.2069786252286188,1.260825710277841,-0.499471441445099,-0.002345582770698151,-0.4611582599111364,-0.5120631445525347,0.6265918119130582,-0.14953638849265952,0.7256856748336278,0.18259311862170002,0.004948085347549095,-0.8749814967616932,-0.2918853418357142,1.0207816419818143
7Networks_LH_Default_Par_6,-0.5825483339003219,0.08025051852568632,0.3735131503947215,0.5776316375045514,-0.8249715926238581,-0.6652249710054564,-0.8834544723727084,0.6471634390542733,-0.9547005197813392,-0.27859550912885,-0.7910602471990458,-1.2949865919581462,-0.09569116280432143,-0.8440641249798918,-0.21281976462673333,-0.6516579883928214,-1.2298041312772752,-1.8896796273157963,-0.41974857077317285,0.15119970079894313
7Networks_LH_Default_Par_7,-0.4429655361237953,0.08794581259968849,0.40308277947996585,0.44534999700352645,-0.580686507709485,-0.7079988587036073,-0.5037686722912982,0.7084733138065336,-0.8677867761720177,-0.20084590500910401,-0.7932632496859428,-1.2753772874302602,0.0189399811896962,-0.8467470344261848,-0.06048015795553548,-0.4226623126327023,-1.119654298367478,-1.8699217204067913,-0.38924254524811086,0.12778301174259002
7Networks_LH_Default_PFC_1,0.6289983260262724,0.17884582046937875,0.4463796263558133,-0.15995238956564728,0.5870610598922813,0.26961602407454327,-0.16872495082001243,0.7223360409095421,0.35319870618020593,0.04490035584540771,0.12148654460098812,0.1040948585318713,0.09722233090704335,0.5166580778289618,0.08389670310534719,0.6962041734464923,-0.7285716913532099,0.01644580353991359,-0.1940351823241619,0.48117075187755803
7Networks_LH_Default_PFC_2,0.17523020648926854,0.9448849552985699,0.9117568953717716,0.05055976316127972,0.5350020461311762,-0.24747609177815494,0.1502206767376414,0.24710749252701897,0.31972698514183123,-0.23145080141206759,-0.12106626693157378,-0.1485344331035301,0.6596158040266684,-0.06098974096645608,-0.34371230878896547,0.5548207212103515,-0.3016679234047747,0.7592629958820609,-0.15108603074363186,0.2772501486276688
7Networks_LH_Default_PFC_3,1.046448478914819,0.7574841158823419,1.0617663531500288,0.04881242316032264,0.8701670583817617,-0.207777585429526,0.15473893286983595,1.445586455669879,0.7118438191923598,-0.18328775170974376,-0.2708250678893188,0.6493076656748484,0.9698051705778008,0.6470475555903494,0.8316748704264899,0.9107177916601926,-0.10185627860538835,0.13952704285317477,-0.16393601148815085,1.3712322110639652
7Networks_LH_Default_PFC_4,0.9814070240608822,-0.1212670505653302,0.7936333728000158,0.1918398712810931,0.5440028319070733,0.5296720096537302,-0.36478717777944014,1.1085987108815087,0.923215774680466,-0.07933605565014122,0.5506362398782115,1.5307578465196554,1.6258005573148768,1.4197746161010663,0.015015151074496831,1.2472591821929842,-0.4741373139179158,0.6813770610194438,-0.030380032142101478,1.1794632501951796
